flight_number,scheduled_arrival,scheduled_departure,actual_departure,month,origin,destination,weather,air_traffic_control,airline_operations,airport_operations,passenger_related,external_factors,delayed
1175,1914,2028,2043,3,CCU,AMD,adverse,normal,free,issue,no,y,0
1176,2210,2092,2092,4,CCU,DEL,normal,congested,issue,issue,yes,y,1
1177,101,2303,2318,11,DEL,GOI,adverse,congested,free,issue,yes,y,0
1178,408,1326,1311,5,DEL,AMD,adverse,normal,issue,issue,no,y,1
1179,2108,323,318,6,AMD,GOI,normal,normal,issue,issue,no,y,0
1180,1008,899,899,10,BLR,DEL,adverse,normal,issue,issue,yes,y,1
1181,2063,1557,1572,10,BLR,AMD,adverse,congested,issue,issue,no,y,0
1182,506,2164,2179,11,CJB,CCU,adverse,congested,issue,free,yes,y,1
1183,1030,390,375,1,DEL,BOM,normal,congested,free,free,no,y,0
1184,1679,1058,1043,7,BOM,CCU,adverse,normal,free,free,no,y,1
1185,1138,1317,1327,11,PNQ,BOM,adverse,normal,free,free,no,y,0
1186,583,1664,1649,5,MAA,GOI,normal,normal,issue,free,yes,y,1
1187,1388,950,945,12,CJB,PNQ,adverse,normal,free,issue,no,y,0
1188,1715,271,256,2,BOM,CCU,adverse,normal,issue,free,no,y,1
1189,1338,1139,1139,6,GOI,BLR,adverse,congested,free,issue,no,y,0
1190,1113,2330,2345,10,BLR,CJB,normal,normal,issue,issue,no,y,1
1191,1745,1410,1440,4,MAA,GOI,normal,normal,issue,issue,no,y,0
1192,1192,383,378,9,CCU,CJB,adverse,congested,issue,free,no,y,1
1193,2341,1891,1891,5,DEL,GOI,adverse,normal,issue,issue,no,y,0
1194,1904,283,313,8,PNQ,DEL,normal,normal,free,free,yes,y,1
1195,451,1379,1374,8,AMD,CCU,normal,congested,free,free,yes,y,0
1196,1854,1483,1498,2,CCU,PNQ,adverse,normal,free,issue,yes,y,1
1197,659,267,262,10,BOM,MAA,normal,congested,free,free,yes,y,0
1198,538,420,405,12,BLR,MAA,adverse,congested,issue,free,no,y,1
1199,1458,830,815,8,HYD,BLR,normal,normal,issue,free,yes,y,0
1200,1965,1424,1424,5,CJB,PNQ,adverse,normal,issue,free,no,y,1
1201,450,1089,1089,6,PNQ,GOI,normal,congested,issue,free,yes,y,0
1202,1623,1247,1252,3,BLR,AMD,adverse,normal,free,issue,yes,y,1
1203,1802,1248,1258,6,AMD,CCU,adverse,normal,issue,free,yes,y,0
1204,397,603,608,12,AMD,DEL,normal,congested,free,free,no,y,1
1205,1675,1105,1090,9,HYD,AMD,normal,congested,issue,free,no,y,0
1206,2356,898,928,4,PNQ,AMD,normal,normal,issue,issue,yes,y,1
1207,1707,1330,1335,6,CCU,CJB,adverse,normal,issue,free,yes,y,0
1208,1664,537,542,7,MAA,HYD,adverse,congested,free,issue,yes,y,1
1209,1337,841,826,4,AMD,DEL,adverse,normal,issue,issue,yes,y,0
1210,1653,953,948,3,CJB,AMD,adverse,congested,free,free,no,y,1
1211,110,1664,1664,10,MAA,HYD,adverse,normal,free,issue,yes,y,0
1212,1442,1898,1913,3,CJB,PNQ,normal,congested,issue,free,no,y,1
1213,691,1319,1329,2,HYD,DEL,normal,congested,issue,issue,no,y,0
1214,732,1873,1858,6,BOM,HYD,normal,congested,issue,free,yes,y,1
1215,337,2328,2323,12,CJB,DEL,adverse,congested,free,issue,no,y,0
1216,2017,1536,1566,2,CCU,BLR,adverse,normal,issue,issue,yes,y,1
1217,1706,1113,1098,3,CJB,DEL,normal,normal,free,free,yes,y,0
1218,1330,272,267,5,DEL,GOI,normal,congested,free,issue,yes,y,1
1219,801,1460,1475,12,DEL,HYD,normal,normal,issue,issue,no,y,0
1220,415,441,436,11,MAA,GOI,adverse,congested,issue,issue,no,y,1
1221,1751,794,824,8,AMD,MAA,adverse,normal,issue,issue,no,y,0
1222,1406,1611,1596,1,CCU,BLR,adverse,congested,issue,issue,no,y,1
1223,831,770,775,4,GOI,CCU,adverse,congested,issue,issue,yes,y,0
1224,729,2287,2317,10,DEL,MAA,adverse,congested,free,issue,no,y,1
1225,1282,2131,2136,8,BLR,BOM,adverse,congested,free,issue,yes,y,0
1226,128,907,937,8,HYD,MAA,normal,congested,issue,free,yes,y,1
1227,770,1418,1403,4,DEL,CCU,adverse,normal,issue,issue,yes,y,0
1228,581,709,709,5,CCU,HYD,normal,normal,free,free,no,y,1
1229,1674,535,550,5,BOM,HYD,adverse,normal,free,issue,no,y,0
1230,1686,2226,2226,2,GOI,BLR,adverse,congested,issue,free,no,y,1
1231,669,1256,1286,5,DEL,HYD,adverse,normal,issue,issue,no,y,0
1232,1440,1190,1190,12,HYD,GOI,adverse,normal,issue,free,yes,y,1
1233,2346,242,247,3,GOI,CJB,adverse,congested,free,free,no,y,0
1234,1549,662,667,3,DEL,CCU,normal,normal,free,free,no,y,1
1235,1207,576,561,4,MAA,PNQ,adverse,congested,free,issue,yes,y,0
1236,1318,2083,2068,3,AMD,PNQ,adverse,normal,free,issue,no,y,1
1237,2004,2209,2214,12,BLR,PNQ,normal,normal,free,free,no,y,0
1238,428,2044,2039,5,DEL,MAA,adverse,normal,free,free,yes,y,1
1239,1275,2305,2315,3,CCU,BOM,normal,congested,free,issue,no,y,0
1240,1964,1712,1717,9,MAA,BLR,adverse,congested,issue,issue,no,y,1
1241,1252,255,285,11,DEL,AMD,adverse,normal,issue,issue,no,y,0
1242,372,1735,1740,2,BOM,HYD,adverse,normal,free,free,yes,y,1
1243,993,2251,2256,4,PNQ,BOM,adverse,normal,free,issue,no,y,0
1244,1944,606,621,9,GOI,MAA,normal,normal,free,issue,no,y,1
1245,551,1754,1759,9,MAA,AMD,adverse,normal,issue,issue,yes,y,0
1246,352,807,812,6,DEL,PNQ,normal,normal,issue,issue,no,y,1
1247,129,1792,1807,6,PNQ,BOM,adverse,normal,free,issue,yes,y,0
1248,1707,1878,1888,2,PNQ,MAA,normal,normal,free,issue,yes,y,1
1249,1859,503,533,1,HYD,AMD,adverse,congested,free,free,yes,y,0
1250,2218,1640,1635,11,PNQ,CJB,adverse,congested,issue,free,yes,y,1
1251,1724,1856,1861,3,PNQ,HYD,normal,normal,issue,issue,yes,y,0
1252,2185,543,543,10,AMD,CCU,adverse,congested,issue,free,no,y,1
1253,2140,1235,1240,9,GOI,HYD,adverse,congested,free,issue,no,y,0
1254,2181,565,570,6,HYD,GOI,adverse,normal,issue,issue,yes,y,1
1255,1117,2172,2157,5,CCU,AMD,normal,normal,issue,free,no,y,0
1256,702,364,379,5,AMD,BOM,normal,normal,issue,issue,yes,y,1
1257,281,1990,2020,11,HYD,GOI,normal,normal,free,issue,yes,y,0
1258,943,913,923,11,CCU,BLR,normal,congested,free,free,yes,y,1
1259,890,2282,2312,9,BOM,BLR,adverse,congested,issue,free,no,y,0
1260,237,1180,1210,3,BOM,HYD,adverse,congested,issue,issue,yes,y,1
1261,240,924,919,12,PNQ,BLR,adverse,normal,free,issue,yes,y,0
1262,647,1713,1698,1,MAA,GOI,adverse,normal,issue,issue,no,y,1
1263,1846,1322,1352,5,AMD,GOI,adverse,normal,issue,free,yes,y,0
1264,2051,500,530,7,PNQ,CCU,adverse,normal,issue,issue,yes,y,1
1265,302,599,584,5,AMD,MAA,normal,congested,issue,free,yes,y,0
1266,797,1125,1130,9,GOI,HYD,adverse,normal,issue,free,yes,y,1
1267,2158,2154,2164,12,GOI,CJB,normal,normal,free,free,yes,y,0
1268,1325,1894,1894,8,BOM,CCU,normal,normal,issue,free,no,y,1
1269,1848,374,374,9,PNQ,GOI,adverse,normal,issue,issue,no,y,0
1270,2248,1560,1565,11,AMD,GOI,adverse,normal,free,issue,yes,y,1
1271,395,1209,1204,9,MAA,BLR,normal,normal,free,free,no,y,0
1272,527,101,86,7,MAA,DEL,normal,normal,free,issue,no,y,1
1273,680,849,854,11,BOM,DEL,normal,congested,free,free,no,y,0
1274,2195,191,186,4,BOM,PNQ,normal,congested,issue,free,yes,y,1
1275,1705,879,889,9,CJB,BOM,normal,congested,free,issue,yes,y,0
1276,381,1080,1090,5,CJB,BLR,adverse,normal,free,free,no,y,1
1277,563,1703,1703,9,CJB,PNQ,normal,normal,free,issue,no,y,0
1278,1292,1255,1270,1,PNQ,DEL,normal,congested,issue,free,yes,y,1
1279,549,1791,1806,6,AMD,BOM,normal,normal,issue,issue,yes,y,0
1280,2220,364,364,6,HYD,CJB,normal,congested,free,issue,yes,y,1
1281,840,760,765,2,BOM,PNQ,normal,normal,free,free,yes,y,0
1282,2035,1478,1488,5,PNQ,AMD,adverse,normal,issue,free,yes,y,1
1283,1921,1501,1496,8,BOM,BLR,adverse,congested,issue,issue,yes,y,0
1284,1167,843,843,5,BLR,HYD,normal,congested,issue,free,yes,y,1
1285,1408,947,947,2,AMD,DEL,adverse,normal,free,free,yes,y,0
1286,857,732,762,1,GOI,PNQ,adverse,congested,free,issue,yes,y,1
1287,528,1987,1987,8,BOM,AMD,normal,normal,free,issue,no,y,0
1288,1972,1134,1144,9,CJB,GOI,adverse,normal,issue,issue,yes,y,1
1289,501,1115,1130,2,DEL,BLR,normal,normal,issue,free,yes,y,0
1290,2252,499,514,1,BLR,AMD,adverse,normal,free,free,no,y,1
1291,1356,1923,1953,7,CJB,BOM,normal,congested,free,issue,no,y,0
1292,803,2073,2073,9,CJB,HYD,normal,normal,free,free,yes,y,1
1293,2354,716,721,8,PNQ,DEL,normal,congested,issue,issue,yes,y,0
1294,352,426,436,2,GOI,CCU,normal,normal,issue,free,no,y,1
1295,2062,1457,1472,7,BOM,PNQ,adverse,normal,issue,issue,no,y,0
1296,927,1214,1209,5,BOM,CJB,normal,congested,issue,issue,yes,y,1
1297,400,810,815,3,AMD,MAA,normal,congested,issue,issue,no,y,0
1298,1299,1651,1666,2,PNQ,MAA,normal,congested,free,free,no,y,1
1299,637,1977,1987,9,MAA,AMD,adverse,normal,issue,free,yes,y,0
1300,2076,581,586,8,BLR,CJB,normal,congested,issue,issue,no,y,1
1301,1041,1205,1205,9,CCU,PNQ,normal,normal,issue,issue,yes,y,0
1302,1479,2307,2292,5,GOI,AMD,normal,normal,free,issue,no,y,1
1303,634,469,469,5,MAA,BLR,normal,normal,issue,issue,no,y,0
1304,2082,902,902,3,BOM,CCU,normal,normal,issue,issue,no,y,1
1305,2301,1506,1491,4,CJB,HYD,adverse,normal,free,issue,yes,y,0
1306,2333,844,874,4,CCU,DEL,normal,congested,free,free,no,y,1
1307,1757,644,674,4,MAA,BLR,normal,normal,issue,issue,no,y,0
1308,1061,810,840,3,AMD,DEL,adverse,congested,free,free,yes,y,1
1309,2344,1138,1143,2,MAA,AMD,normal,congested,issue,issue,yes,y,0
1310,579,1880,1880,7,HYD,BLR,normal,normal,issue,free,yes,y,1
1311,2079,1151,1156,11,CCU,MAA,adverse,congested,issue,free,no,y,0
1312,1488,974,959,12,BLR,MAA,normal,congested,issue,issue,no,y,1
1313,2295,1559,1589,6,PNQ,HYD,adverse,congested,free,issue,no,y,0
1314,1525,1432,1447,10,BOM,DEL,normal,congested,issue,issue,yes,y,1
1315,1726,1376,1376,9,GOI,BLR,adverse,congested,issue,issue,no,y,0
1316,689,1296,1291,6,HYD,GOI,normal,normal,issue,free,no,y,1
1317,2178,112,142,5,MAA,AMD,normal,normal,free,issue,yes,y,0
1318,849,151,166,6,CJB,BLR,adverse,congested,issue,free,no,y,1
1319,1173,924,909,12,MAA,PNQ,normal,normal,free,free,yes,y,0
1320,1826,829,824,10,AMD,MAA,normal,congested,free,free,no,y,1
1321,904,2292,2302,1,PNQ,DEL,adverse,congested,free,free,no,y,0
1322,471,232,217,7,CJB,DEL,normal,congested,issue,free,no,y,1
1323,2211,2126,2141,7,GOI,BLR,adverse,congested,issue,free,yes,y,0
1324,1768,427,432,3,DEL,PNQ,normal,congested,free,issue,no,y,1
1325,786,673,678,6,GOI,HYD,normal,normal,free,free,yes,y,0
1326,1198,1093,1123,8,BOM,HYD,normal,normal,free,issue,no,y,1
1327,2327,359,389,9,HYD,DEL,normal,normal,issue,issue,yes,y,0
1328,1954,1946,1946,7,HYD,PNQ,normal,normal,issue,issue,yes,y,1
1329,812,612,622,9,GOI,CJB,adverse,congested,free,issue,yes,y,0
1330,469,1626,1641,8,MAA,HYD,adverse,normal,free,issue,yes,y,1
1331,859,2240,2225,4,AMD,MAA,normal,normal,free,free,no,y,0
1332,651,938,933,1,AMD,DEL,adverse,congested,issue,issue,no,y,1
1333,1835,2164,2174,10,MAA,CJB,adverse,congested,issue,issue,no,y,0
1334,2006,1234,1244,2,DEL,CCU,normal,normal,issue,free,no,y,1
1335,1512,1326,1321,11,GOI,MAA,adverse,normal,issue,free,yes,y,0
1336,2140,777,807,3,MAA,AMD,adverse,normal,issue,issue,no,y,1
1337,601,2268,2278,7,BLR,MAA,normal,normal,free,free,no,y,0
1338,928,1395,1390,11,CCU,HYD,normal,congested,issue,issue,no,y,1
1339,2268,928,943,6,BLR,PNQ,adverse,congested,issue,issue,yes,y,0
1340,852,1022,1027,12,DEL,PNQ,adverse,congested,free,free,no,y,1
1341,108,308,323,1,DEL,MAA,normal,normal,issue,free,no,y,0
1342,1741,786,801,2,GOI,HYD,adverse,normal,issue,free,no,y,1
1343,1782,1309,1304,11,HYD,CJB,normal,normal,free,issue,no,y,0
1344,2313,2348,2343,11,DEL,PNQ,adverse,normal,issue,free,yes,y,1
1345,2181,574,589,10,BOM,CJB,normal,normal,free,issue,yes,y,0
1346,2134,1242,1252,12,BLR,PNQ,adverse,normal,free,free,yes,y,1
1347,1415,2223,2233,12,CCU,PNQ,adverse,congested,free,free,yes,y,0
1348,174,1426,1441,9,MAA,BOM,normal,congested,free,free,no,y,1
1349,652,105,90,4,CJB,PNQ,normal,normal,issue,free,no,y,0
1350,819,1709,1719,10,BLR,AMD,adverse,congested,free,free,yes,y,1
1351,1220,865,875,2,CCU,GOI,adverse,normal,free,free,no,y,0
1352,1754,1749,1749,8,BLR,GOI,adverse,congested,issue,free,no,y,1
1353,214,1342,1352,2,HYD,PNQ,normal,normal,free,free,no,y,0
1354,1483,608,638,2,DEL,BOM,adverse,normal,free,issue,yes,y,1
1355,554,2074,2089,8,MAA,DEL,adverse,normal,free,free,no,y,0
1356,1348,1190,1190,6,CCU,CJB,normal,normal,issue,free,no,y,1
1357,180,517,532,5,BOM,CJB,adverse,congested,free,issue,no,y,0
1358,200,1957,1972,8,CCU,HYD,normal,normal,issue,issue,no,y,1
1359,1683,2134,2149,6,BLR,CJB,normal,normal,issue,issue,no,y,0
1360,1370,2252,2247,12,CJB,AMD,adverse,normal,issue,free,yes,y,1
1361,2019,2024,2034,5,BOM,MAA,normal,congested,issue,free,yes,y,0
1362,1953,2069,2074,10,MAA,BOM,normal,normal,issue,free,yes,y,1
1363,1400,1946,1941,5,CJB,AMD,adverse,normal,issue,free,no,y,0
1364,684,1631,1641,12,HYD,CCU,adverse,congested,issue,issue,no,y,1
1365,419,232,242,9,GOI,BLR,adverse,normal,issue,issue,yes,y,0
1366,939,1679,1674,2,DEL,GOI,adverse,congested,free,issue,no,y,1
1367,2197,1444,1429,5,CCU,AMD,adverse,normal,free,issue,no,y,0
1368,812,1464,1479,10,BOM,BLR,normal,normal,free,issue,no,y,1
1369,703,421,426,12,HYD,MAA,normal,normal,issue,free,yes,y,0
1370,108,2066,2071,9,BOM,CCU,adverse,normal,issue,issue,no,y,1
1371,2317,2275,2305,7,CJB,BOM,normal,normal,issue,issue,no,y,0
1372,898,342,352,5,DEL,GOI,normal,normal,free,issue,yes,y,1
1373,1079,1481,1486,3,HYD,CCU,adverse,congested,issue,free,no,y,0
1374,778,348,348,3,PNQ,HYD,normal,congested,issue,issue,no,y,1
1375,224,1074,1079,3,PNQ,HYD,adverse,congested,free,free,no,y,0
1376,2059,1089,1074,9,MAA,AMD,normal,congested,free,free,no,y,1
1377,1770,934,934,7,DEL,AMD,adverse,congested,issue,free,yes,y,0
1378,1460,1279,1289,8,GOI,HYD,adverse,normal,issue,issue,yes,y,1
1379,1426,1480,1490,7,HYD,AMD,normal,congested,free,free,yes,y,0
1380,148,1942,1972,7,GOI,PNQ,normal,normal,issue,issue,yes,y,1
1381,1393,1973,1958,7,CCU,HYD,normal,congested,issue,issue,no,y,0
1382,494,1907,1917,4,AMD,MAA,adverse,congested,issue,free,no,y,1
1383,2095,1523,1528,3,AMD,CCU,adverse,normal,issue,issue,yes,y,0
1384,1792,455,470,7,GOI,CJB,normal,normal,free,free,yes,y,1
1385,760,661,676,2,CCU,AMD,adverse,congested,free,free,no,y,0
1386,347,1982,1967,11,GOI,HYD,normal,congested,free,free,yes,y,1
1387,915,121,126,11,AMD,DEL,adverse,normal,issue,issue,yes,y,0
1388,701,1046,1031,5,DEL,GOI,normal,normal,issue,issue,yes,y,1
1389,150,1960,1955,11,GOI,HYD,adverse,congested,free,issue,no,y,0
1390,1774,2262,2272,1,MAA,BLR,normal,normal,issue,issue,no,y,1
1391,108,1368,1398,12,AMD,GOI,adverse,congested,free,free,yes,y,0
1392,1875,395,405,12,CCU,BOM,adverse,congested,free,issue,yes,y,1
1393,2300,1706,1721,5,AMD,HYD,adverse,normal,issue,issue,yes,y,0
1394,1532,2019,2014,4,HYD,AMD,normal,congested,issue,free,no,y,1
1395,1037,666,666,3,GOI,BOM,adverse,normal,free,issue,no,y,0
1396,2136,1718,1713,5,BOM,MAA,adverse,congested,issue,issue,yes,y,1
1397,2133,385,415,12,AMD,BOM,adverse,normal,issue,issue,yes,y,0
1398,1682,1436,1421,4,CJB,CCU,adverse,normal,free,free,yes,y,1
1399,2202,1627,1612,9,CCU,BOM,normal,congested,issue,issue,yes,y,0
1400,2179,1131,1126,6,MAA,DEL,adverse,congested,free,issue,yes,y,1
1401,1383,1662,1672,1,CJB,PNQ,adverse,congested,issue,free,yes,y,0
1402,410,616,646,5,AMD,BOM,adverse,normal,issue,issue,yes,y,1
1403,259,750,745,12,HYD,PNQ,adverse,normal,issue,free,yes,y,0
1404,396,1686,1696,8,BOM,CCU,adverse,congested,free,issue,yes,y,1
1405,1890,167,177,5,CCU,HYD,normal,normal,free,free,no,y,0
1406,1862,1639,1639,11,CCU,GOI,adverse,congested,issue,issue,yes,y,1
1407,564,103,103,1,AMD,DEL,adverse,congested,issue,issue,no,y,0
1408,1726,2255,2270,7,AMD,PNQ,normal,normal,free,issue,no,y,1
1409,677,2275,2280,3,BOM,AMD,adverse,normal,free,issue,no,y,0
1410,624,1238,1223,11,MAA,CCU,adverse,normal,free,issue,yes,y,1
1411,1333,1419,1434,12,HYD,DEL,adverse,congested,free,issue,yes,y,0
1412,1614,2280,2285,5,PNQ,DEL,normal,congested,issue,free,no,y,1
1413,969,2227,2257,10,CJB,CCU,adverse,congested,free,free,yes,y,0
1414,156,903,913,8,AMD,BOM,normal,congested,issue,free,no,y,1
1415,2091,379,409,1,CCU,BLR,normal,normal,free,free,no,y,0
1416,1233,1859,1889,1,HYD,BOM,normal,normal,issue,free,no,y,1
1417,1785,1335,1340,2,MAA,GOI,adverse,congested,issue,free,yes,y,0
1418,2277,831,836,9,DEL,HYD,normal,normal,issue,free,yes,y,1
1419,2231,1419,1404,9,CCU,HYD,normal,normal,free,issue,yes,y,0
1420,2242,2225,2220,3,HYD,BLR,normal,congested,issue,issue,no,y,1
1421,1416,893,923,3,GOI,PNQ,normal,normal,free,free,no,y,0
1422,496,1575,1605,7,CCU,BLR,normal,normal,free,free,yes,y,1
1423,1056,1252,1257,10,AMD,PNQ,adverse,normal,free,issue,no,y,0
1424,950,1801,1811,4,DEL,MAA,normal,congested,issue,issue,no,y,1
1425,1107,409,394,10,MAA,BLR,normal,congested,issue,issue,no,y,0
1426,591,823,853,8,PNQ,CCU,adverse,normal,free,issue,no,y,1
1427,696,994,1009,5,DEL,HYD,normal,normal,free,issue,yes,y,0
1428,199,2118,2113,7,BOM,BLR,normal,normal,free,issue,yes,y,1
1429,859,120,125,6,HYD,MAA,adverse,congested,issue,issue,no,y,0
1430,592,1078,1073,1,AMD,MAA,normal,congested,issue,issue,yes,y,1
1431,1008,2159,2169,7,MAA,PNQ,normal,congested,free,issue,yes,y,0
1432,1304,1617,1647,5,DEL,PNQ,normal,congested,issue,free,no,y,1
1433,1490,1645,1630,8,BLR,CCU,adverse,normal,issue,free,yes,y,0
1434,1057,2190,2195,9,CCU,DEL,normal,normal,issue,issue,yes,y,1
1435,1601,1510,1510,8,GOI,DEL,normal,congested,free,free,yes,y,0
1436,1189,633,638,10,MAA,PNQ,normal,congested,free,free,yes,y,1
1437,1256,1876,1881,2,AMD,BLR,normal,normal,free,issue,no,y,0
1438,558,943,948,3,BLR,MAA,normal,congested,free,issue,no,y,1
1439,199,645,640,5,BLR,HYD,adverse,congested,free,free,yes,y,0
1440,1300,177,182,12,CJB,GOI,adverse,normal,issue,issue,yes,y,1
1441,1291,776,781,1,CCU,HYD,normal,congested,free,issue,no,y,0
1442,404,1595,1595,10,BLR,BOM,adverse,normal,issue,issue,no,y,1
1443,351,891,896,5,PNQ,DEL,adverse,normal,issue,issue,no,y,0
1444,546,442,452,1,CJB,CCU,normal,congested,free,free,no,y,1
1445,1796,2222,2252,6,BOM,MAA,adverse,congested,issue,free,yes,y,0
1446,440,1736,1736,5,AMD,DEL,normal,congested,free,free,no,y,1
1447,2019,1224,1209,8,DEL,AMD,normal,congested,free,free,yes,y,0
1448,319,750,755,12,MAA,DEL,adverse,congested,issue,free,yes,y,1
1449,506,1913,1943,3,DEL,HYD,normal,normal,free,free,yes,y,0
1450,1683,1998,2003,6,DEL,CJB,normal,normal,free,issue,yes,y,1
1451,871,2136,2166,8,AMD,BOM,normal,normal,issue,issue,yes,y,0
1452,1301,485,470,1,MAA,BLR,adverse,congested,free,issue,no,y,1
1453,2346,925,920,11,BOM,BLR,normal,congested,free,free,no,y,0
1454,1247,2179,2194,1,CJB,BLR,normal,normal,free,free,no,y,1
